Rating,Number Of Ratings,Address
5/5,5 ratings,"1645 Briargate Parkway, Ste 203, Colorado Springs, CO 80920"
The Original BBQ Chicken,$14.99,Most Loved,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Original BBQ Chicken Chopped,$12.99,Most Loved,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Classic Caesar,$7.99,Most Loved,"Crisp Romaine with shaved Parmesan and housemade garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Garlic Cream Fettuccine,$12.49,Most Loved,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Thai Crunch,$10.99,Most Loved,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
California Cobb,$11.49,Most Loved,"Gluten-Free Ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with housemade herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$10.99,Most Loved,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Curly Mac 'n' Cheese,$5.79,Most Popular, 
Traditional Cheese Pizza,$5.49,Most Popular,Vegetarian. Tomato sauce and Mozzarella.
Avocado Club Egg Rolls,$11.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomatoes, Monterey Jack and Nueske's Applewood-smoked bacon, served with housemade ranchito sauce and herb-ranch."
Margherita,$13.99,Most Popular,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan"
Butter Cake,$7.69,Most Popular,CPK Favorite! Vegetarian. Trust us.... just try it! Served warm with housemade whipped cream.
Crispy Mac 'n' Cheese,$5.49,Most Popular,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
Five Cheese + Fresh Tomato,$12.79,Most Popular,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Bolognese Spaghetti,$13.99,Most Popular,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Lemongrass Chicken,$19.99,Seasonal Offerings,"Pan-roasted chicken in a lemongrass ginger glaze, over a stir-fry of baby bok choy, roasted farro, shiitake mushrooms and red chili."
Banh Mi Bowl,$14.99,Seasonal Offerings,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with housemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Seasonal Offerings,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
Spinach Artichoke Dip,$11.69,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue and white corn tortilla chips.
Avocado Club Egg Rolls,$11.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomatoes, Monterey Jack and Nueske's Applewood-smoked bacon, served with housemade ranchito sauce and herb-ranch."
Lettuce Wraps,$10.69,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger-soy."
Szechuan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$6.99,Small Plates + California Flatbreads,"Vegetarian. Gluten free ingredients. East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.49,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$5.49,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.49,Small Plates + California Flatbreads,"Vegetarian. Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$6.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Farmers Market,$5.99,Soups,Vegetarian. Roasted squash and market vegetables with a touch of cream. Finished with a drizzle of California extra virgin olive oil.
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske's applewood smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
The Original BBQ Chicken Chopped,$12.99,Salads,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Roasted Veggie,$10.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served over cool Romaine with avocado and housemade Dijon balsamic vinaigrette."
